tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;UR;5422215YJ1452S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00074;CL;SANTIAGO APOSTOL;0056;;0000;;00000;;2004;E;0000000;01140
13;46;019;UR;5715814YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00145;CL;BLASCO IBAÑEZ;0057;;0000;;00000;;1977;E;0000000;00262
13;46;019;UR;5715814YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00145;CL;BLASCO IBAÑEZ;0057;;0000;;00000;;1977;E;0000000;00262
13;46;019;UR;5819810YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5819810YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5819810YJ1451N;0003;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5819810YJ1451N;0004;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5819810YJ1451N;0005;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5819810YJ1451N;0006;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0014;;0000;;00000;;2005;E;0000000;02115
13;46;019;UR;5413608YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00155;CL;DOCTOR PERSET;0028;;0000;;00000;;1989;E;0000000;01525
13;46;019;UR;5413608YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00155;CL;DOCTOR PERSET;0028;;0000;;00000;;1989;E;0000000;01525
13;46;019;UR;5413608YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00155;CL;DOCTOR PERSET;0028;;0000;;00000;;1989;E;0000000;01525
13;46;019;UR;5917507YJ1451H;0001;46;VALENCIA;019;019;L'ALCUDIA;;00306;CL;PR.ENRIQUE TIERNO GALVAN;0003;;0000;;00000;;2004;E;0000076;00745
13;46;019;UR;5917507YJ1451H;0002;46;VALENCIA;019;019;L'ALCUDIA;;00306;CL;PR.ENRIQUE TIERNO GALVAN;0003;;0000;;00000;;2004;E;0000033;00745
13;46;019;UR;5718516YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00113;CL;DOCTOR FERRAN;0014;;0000;;00000;;2001;E;0000123;00000
13;46;019;UR;5718516YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00113;CL;DOCTOR FERRAN;0014;;0000;;00000;;2001;E;0000018;00000
13;46;019;UR;5718516YJ1451N;0003;46;VALENCIA;019;019;L'ALCUDIA;;00113;CL;DOCTOR FERRAN;0014;;0000;;00000;;2001;E;0000000;00000
13;46;019;UR;5819809YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0010;;0000;;00000;;2003;E;0000000;01000
13;46;019;UR;5819809YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00176;CL;L'ALGUER;0010;;0000;;00000;;2003;E;0000000;01000
13;46;019;UR;5511237YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0029;;0000;;00000;UA SUR 1 P-09-2;2000;E;0000000;01541
13;46;019;UR;5511237YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0029;;0000;;00000;UA SUR 1 P-09-2;2000;E;0000000;01541
13;46;019;UR;5619516YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00112;CL;CALIG PALAFOX;0007;;0000;;00000;;2006;E;0000000;02175
13;46;019;UR;5619516YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00112;CL;CALIG PALAFOX;0007;;0000;;00000;;2006;E;0000406;02175
13;46;019;UR;5815904YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00067;CL;PIZARRO;0005;;0000;;00000;SUR 6;2002;E;0000000;00000
13;46;019;UR;5813712YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00072;AV;PABLO IGLESIAS POSSE;0085;;0000;;00000;;2007;E;0000199;00885
13;46;019;UR;5813712YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00072;AV;PABLO IGLESIAS POSSE;0085;;0000;;00000;;2007;E;0000020;00885
13;46;019;UR;5813702YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00090;CL;HERNAN CORTES;0022;B;0000;;00000;;1973;E;0000179;00698
13;46;019;UR;5813702YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00090;CL;HERNAN CORTES;0022;B;0000;;00000;;2005;E;0000000;00698
13;46;019;UR;5713312YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00089;CL;CARDENAL CISNEROS;0010;;0000;;00000;;1971;E;0000000;01038
13;46;019;UR;5713312YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00089;CL;CARDENAL CISNEROS;0010;;0000;;00000;;1999;E;0000000;01038
13;46;019;UR;5713310YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00147;CL;MARIANO MADRAMANY;0009;;0000;;00000;;1991;E;0000123;00730
13;46;019;UR;5713310YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00147;CL;MARIANO MADRAMANY;0009;;0000;;00000;;2006;E;0000000;00730
