tipo;prov;mun;refcat;orden;cargo;uc;bloque;escalera;planta;puerta;destino;tipo_refor;anyo_refor;anyo_ant;local_interior;sup_total;sup_porche_terraza;sup_otras_plantas;tipologia;modo_reparto
14;46;019;46019A02600448;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000049;0000000;0000000;02138;
14;46;019;46019A02600448;0003;0000;0001;;1;00;03;ZBE;;0000;1970;N;0001050;0000000;0000000;10328;
14;46;019;46019A01800094;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000856;0000000;0000000;02138;
14;46;019;46019A01200083;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000012;0000000;0000000;02138;
14;46;019;46019A00600091;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000078;0000000;0000000;02138;
14;46;019;46019A00600085;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000068;0000000;0000000;02138;
14;46;019;46019A00600085;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000020;0000000;0000000;02138;
14;46;019;46019A00600085;0003;0000;0001;;1;00;03;BIG;;0000;1970;N;0000258;0000000;0000000;02138;
14;46;019;46019A00100029;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000053;0000000;0000000;02138;
14;46;019;46019A02600385;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000121;0000000;0000000;02138;
14;46;019;46019A02600351;0001;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000060;0000000;0000000;10328;
14;46;019;46019A01200053;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000030;0000000;0000000;02138;
14;46;019;46019A01200053;0002;0000;0001;;1;00;02;YPO;;0000;1970;N;0000025;0000000;0000000;01238;
14;46;019;46019A01100040;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000134;0000000;0000000;02138;
14;46;019;46019A00500098;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000024;0000000;0000000;02138;
14;46;019;46019A00500062;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000017;0000000;0000000;02138;
14;46;019;46019A02200061;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000083;0000000;0000000;02138;
14;46;019;46019A02200061;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000052;0000000;0000000;02138;
14;46;019;46019A02200041;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000038;0000000;0000000;02138;
14;46;019;46019A01000037;0001;0000;0001;;;00;01;BIG;;0000;1975;N;0000008;0000000;0000000;02139;
14;46;019;46019A00500057;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000030;0000000;0000000;02138;
14;46;019;46019A01200027;0001;0001;0001;;1;00;01;V;;0000;1972;N;0000088;0000000;0000000;01217;
14;46;019;46019A01200027;0003;0001;0001;;1;01;01;V;;0000;1972;N;0000025;0000000;0000000;01217;
14;46;019;46019A01200027;0002;0001;0002;;1;00;BJ;AAL;;0000;1972;N;0000007;0000000;0000000;01239;
14;46;019;46019A01200027;0004;0001;0003;;1;00;BJ;KPS;;0000;1972;N;0000032;0000000;0000000;05229;
14;46;019;6115402YJ1461S;0001;0001;0001;;1;00;01;AAL;;0000;2001;N;0001235;0000000;0000000;02135;
14;46;019;6115402YJ1461S;0002;0001;0001;;1;00;02;AAL;;0000;2001;N;0000750;0000000;0000000;02135;
